"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.10136",-0.398937678013464,-1.84621170053378,-0.718879196701791,0.76260859389898,0.255640483841164,0.246481964853621,0.936170402144944,0.484020307546581,0.275514434375729,-0.275772079557751,0.0463423949920676,0.23302207315369,9
"dv.102439",0.00677163076370668,-1.36512278306349,1.14857784739877,0.364136288375766,0.938317501538578,-0.0505111259731024,-0.612800463492932,-0.0924681265925846,0.325586034271169,-0.350922093876805,-0.545977475474585,0.234412766125509,9
"dv.119549",-0.422894356058718,-1.71535622741758,-0.560747207328702,0.37589294250627,0.418201741664858,0.496185680282819,-0.498341550237014,0.929807623675226,0.204893175686641,-0.399212540008148,0.747994724215282,0.423575993019062,9
"dv.132466",-1.16191561648011,-4.36077350449893,1.12369569801742,0.343464285820896,0.604148459688186,0.195495906355638,0.201175661148256,0.685658716810887,0.396820196205223,0.444483835476267,0.744079310679999,0.783667050776276,9
"dv.133062",-1.61115559628653,-2.93699851965767,1.33921325039224,0.533874754684992,0.127075357351774,0.657701003498313,-0.227516287818565,0.291585902981315,-0.244538835759601,0.440655689871194,1.0978658164946,0.532237464247942,9
"dv.13772",-0.0369650240963129,-0.360055352314293,-0.0285109580945582,-0.0233301165081699,1.55923893479917,-0.436367967735371,0.864481262927256,0.255142508014528,0.103611953220007,-1.98751952972504,0.0797800382988321,0.0104942512139559,9
"dv.149822",-1.74978676925737,0.080990201241752,0.367874864400775,0.12941179106099,0.0415576004003766,0.557803691130857,0.0669895412707104,0.446845826138436,0.169461555779841,0.159645314651654,-0.275953098913455,0.00515948209542927,9
"dv.152016",0.996215770675898,-2.32323247251218,-1.9296089126056,0.361934218756842,1.2146846594448,1.9119930364512,0.191628311272724,0.28958393800665,0.527244512473285,0.029047504720384,-0.258345154718252,-1.01114541196575,9
"dv.17475",-0.0621633060195439,-0.24291578847771,-0.687171623734113,0.581870888510643,1.4349380875619,-0.623298327168571,1.21411912725605,0.216574516565466,0.371167738360249,-1.75955412124994,-0.241399109876019,-0.202168081728415,9
"dv.17902",-1.3981873171065,-1.3981873171065,-1.3981873171065,-0.359407224712811,0.568865875859526,0.629791820225867,0.69419506624995,0.500979015360982,-0.0583828550336252,0.649139574470754,0.697949210884464,0.871431468014397,9
"dv.30356",-1.87095052401464,-0.444553203739563,-0.905831302181253,0.803813399028791,0.134904988613936,-0.235361997999919,0.00354982046212093,0.688562120102505,0.676928753252984,0.248296105469946,0.60548945862241,0.295152382382684,9
"dv.3531",0.157793269162246,-1.65127509086668,0.0684747666937895,-0.320595555943649,0.495326286959521,0.501439852327389,1.16838159151407,0.552884376813708,0.250784984024079,-0.415665498308167,-0.531462767510064,-0.276086214866245,9
"dv.35710",-0.584522155440581,-0.584522155440581,0.709485977181664,-0.584522155440581,0.0495455926638368,0.59749560883359,0.169764104769002,0.236169270116651,-0.186105811701689,0.187105775751461,0.232647100148464,-0.242541151441236,9
"dv.39379",-0.888259940324203,-0.888259940324203,-0.888259940324203,-0.27976616342443,0.355876507519313,-0.0387451343420784,0.8094976963136,0.389845875204151,0.451579341517736,0.369697248315926,0.382869125356359,0.223925324512031,9
"dv.44182",0.199409313281334,-1.54582329563912,-1.54582329563912,0.547046680523149,0.337334365872632,-0.120393632582001,0.554774084310982,0.280169541602203,0.176734595321912,0.537359102372207,0.338899569905037,0.240312970670776,9
"dv.5500",-1.04857184046044,-0.527457989926972,-0.447758526573311,1.08989748764995,1.77099397809082,0.578148205517773,0.430974398404046,0.298288132177134,0.151427291083045,-1.2323123780321,-0.215345915163859,-0.848282842766077,9
"dv.90",-0.827538575925155,-1.02395903717635,-0.926943762723266,0.212445075036062,0.0660585194193395,0.312587122990948,0.48518464247924,0.391402383559829,-0.0816084367256789,0.313952103838966,0.527128804470308,0.551291160755754,9
