"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.11497",-0.571589583001154,0.0437578157484158,-1.02476394999822,0.90083025996107,-0.218730462110395,-0.538840928500713,0.174613198133963,-1.13374555862925,-0.52667794979673,0.532116796405068,1.73651039644515,0.626519965342798,10
"dv.131230",0.391116927125564,0.553377846797808,0.136502364565565,-0.0320688981506532,0.403510410381534,-0.177960739725112,-0.0553897455421897,-1.20123548525258,-0.433273646587919,0.424526277503018,0.0485690257034914,-0.0576743368185362,10
"dv.132850",-0.434958417582292,-0.434958417582292,-0.434958417582292,1.53453818754518,-0.434958417582292,-0.434958417582292,2.81504598827773,-0.434958417582292,-0.434958417582292,-0.434958417582292,-0.434958417582292,-0.434958417582292,10
"dv.137764",-0.790733559234174,-0.790733559234174,-0.790733559234174,-0.790733559234174,1.43832219840634,-0.790733559234174,1.28676653050663,-0.790733559234174,0.599146540961292,-0.790733559234174,0.864542342946069,1.34635730181889,10
"dv.140342",-0.624427019308522,0.508526097290678,-2.16081898054221,0.437251717889277,0.165588250300753,1.02569495278502,-0.106009471939004,0.355364904537492,0.501446468046415,-0.926017149277232,0.874885120164898,-0.0514848899475613,10
"dv.149616",-2.15362266151998,2.06552949791283,-2.15362266151998,0.443380965499484,0.525224887463148,0.690896144993409,-0.494636930989497,-0.828377147426956,0.794299838249398,0.639138532478192,0.488321335326863,-0.0165318004669155,10
"dv.149822",-2.75981290197314,-0.0172194794355933,0.366910067075817,0.573096419915959,0.139723860559223,0.655912736760119,1.04455451742097,-0.644476018564877,0.75533273125215,-0.293346296598775,0.738733439155928,-0.559409075567782,10
"dv.153052",-0.231230248115953,-0.231230248115953,-0.231230248115953,-0.231230248115953,0.682274666891923,-0.231230248115953,-0.231230248115953,0.551453003427957,-0.231230248115953,0.847344562723696,-0.231230248115953,-0.231230248115953,10
"dv.162614",-3.01196567095616,2.0974354344382,-0.21624088368233,0.205524654119843,0.530933903442023,0.980819428159085,-0.767638874180306,0.316291556009416,-0.50986027591898,-0.178320961876182,0.486580670172913,0.0664410202724683,10
"dv.163",-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,0.461247823180828,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,10
"dv.22064",1.92022154870782,2.0100469038881,-2.94510781236979,0.0325458669068359,1.05768055674582,0.134839275351769,-0.518124627672195,-0.727791890707551,-0.0958867988875935,-0.910278117233505,0.321518579024418,-0.279663483754127,10
"dv.23625",0.465597098315969,1.07320584002233,-3.18714475159224,-0.94635634996679,-0.287607989059876,-0.408278341611582,0.455317977542058,0.0507720046083149,0.349082702297864,0.930476624390092,0.797204414803587,0.70773077025027,10
"dv.25024",-1.80806399480107,1.25133069493771,0.661151531505284,0.586710661264339,0.203350825522463,0.248402511908107,-0.0882680321713085,-0.384263452482535,-0.315543136503447,-0.205541667400186,-0.103981952155853,-0.0452839896234982,10
"dv.266",0,0,0,0,0,0,0,0,0,0,0,0,10
"dv.2739",0.493755368824919,-0.320613896039587,0.134718212779772,1.26916182368161,1.47221021662244,0.667489990944084,0.779404731510443,0.180968521545516,-0.236546089568069,0.198707084703241,-2.40389207191959,-2.23536389308477,10
"dv.30356",-1.10324206358253,0.649803148523719,0.110147775257432,-0.484468434734513,0.507344965194071,-0.0224117696808834,-0.457263994828906,-0.347610745380934,-0.428093798101958,0.862554425964055,0.133980750367397,0.57925974100306,10
"dv.38493",0.783625400555914,1.80443277442512,-2.57285933309752,0.866757009903381,-0.21649116826655,0.16044116963632,-0.409282631613826,0.437735098952285,0.375063166671861,-0.106392727723152,-0.397294559737673,-0.725734199706167,10
"dv.39379",-0.883422911206035,-0.883422911206035,-0.883422911206035,-0.00398953692685877,0.528214692448224,0.230275169395379,1.43699541420171,0.0695435660831958,-0.883422911206035,-0.883422911206035,0.720937406047658,1.43513784478086,10
"dv.5500",-1.50393021607799,-0.979305759040462,-0.872066444654977,1.12369421285559,1.80418565448009,1.0496338714537,0.601656566057828,0.324391015790834,0.105705247714782,0.0275257286620105,-0.780727064316525,-0.900762812924875,10
"dv.5765",0.0780144244846053,0.735851027000912,-0.123904600800781,-0.0389697045337716,0.126219683088657,-0.286760181922069,1.09978218441428,0.341945640461731,-0.0991290671969054,-0.66148370149248,-0.486910761302603,-0.684654942201568,10
"dv.608",-2.71091846569289,-0.288672750438257,-0.428245689241603,-1.08537455263429,1.22402660927769,0.780407578066958,0.218940117455675,-0.128816491522361,-0.00461198769043314,0.552183138510458,1.29550681895094,0.575575674958102,10
"dv.7934",-0.702783796778,-0.323865517337648,-1.43384389033627,0.428938904506139,0.210791938329105,0.516445354291339,-0.296063970522329,-0.65423243079049,-0.423464039920291,0.730243206432045,0.995375994663552,0.952458247462844,10
"dv.90",0.419365118226871,0.109401805932849,0.224522367871996,-0.0903458417037015,0.37916814379264,-0.319116154155052,-0.150383444105508,-0.790255610642491,-0.79321208349571,1.05675651902167,-0.23365498226333,0.187754161519763,10
"dv.94560",0.565995960370239,0.601952066576638,-0.990173495367054,0.0624633016849376,1.01801302495324,0.192209131780045,0.151394660069764,-0.927432590878441,-0.45947438176375,0.571467387466603,-0.499435819970184,-0.286979244922049,10
"dv.94578",-0.715273572107594,-1.08803649289724,0.181168718423184,1.96337806372509,-2.03820750097009,-1.31632181855978,0.850575112586268,0.578642969126251,0.0355956131029256,0.915711475923775,-1.02501145714815,1.65777888879536,10
