"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","Deet-0.25h-1.tabular","Deet-0.25h-2.tabular","Deet-0.25h-3.tabular","Deet-4h-1.tabular","Deet-4h-2.tabular","Deet-4h-3.tabular","Deet-24h-1.tabular","Deet-24h-2.tabular","Deet-24h-3.tabular","cluster"
"dv.102513",-1.6725336071426,2.62880657787824,0.420035687569381,-0.82015750107709,0.630808382268709,-0.0401704598949078,-0.619955558816524,-0.286708877071552,0.055486737228164,0.0917484748897044,-0.186187720454424,-0.201172135377096,5
"dv.133492",-0.175799585598191,1.9337954415801,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,-0.175799585598191,5
"dv.14609",-0.629698494905982,0.953462653593923,-0.253701101738781,0.560374904467032,0.260353741431599,0.686485587483046,-0.629698494905982,-0.0456306709628556,0.0572119436805272,-0.629698494905982,-0.0437075856420037,-0.285753987594537,5
"dv.146496",-0.275757727617246,2.0559087604245,-0.275757727617246,-0.275757727617246,-0.275757727617246,-0.275757727617246,-0.275757727617246,-0.275757727617246,0.121531780293093,-0.275757727617246,0.304379007837619,-0.275757727617246,5
"dv.15732",0.338949845026211,1.71364938297126,-0.614884517940708,0.705120492139042,-0.614884517940708,1.01726030116635,-0.614884517940708,0.529211604282089,-0.614884517940708,-0.614884517940708,-0.614884517940708,-0.614884517940708,5
"dv.157994",-0.188869224806727,2.077561472874,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,-0.188869224806727,5
"dv.163149",-1.14042238397609,1.03873439251268,-0.72706942909875,-0.41508167710772,1.417884012149,-0.42114997514541,0.0304534929055,0.062125606401132,0.569484915049163,-0.144424990146382,-0.183565710830897,-0.0869682527122189,5
"dv.26245",-0.523218561318999,2.83776054379501,-0.523218561318999,-0.523218561318999,0.110994605804341,0.0812413784505441,0.229115408506409,-0.523218561318999,-0.523218561318999,-0.523218561318999,0.0604219059775186,-0.180222474619834,5
"dv.33067",-0.62517504057891,2.35237442855061,1.94515599802547,-0.62517504057891,0.25759928820007,-0.62517504057891,-0.62517504057891,-0.62517504057891,-0.62517504057891,0.446270609855133,-0.62517504057891,-0.62517504057891,5
"dv.43641",-0.353562860486183,1.40962251886468,0.614907919981218,-0.550484740721144,0.0919724836402951,-0.243111802329869,-0.587154816067714,0.157279019990893,-0.00935412358484289,0.0737917549046267,-0.0566125866862919,-0.54729276750567,5
"dv.43878",-0.999593090550719,1.71332466217575,1.04033835347612,0.0291865786565095,0.698061593431305,-0.999593090550719,-0.0844401129888297,-0.418471993154223,-0.216021868286474,-0.334898276858739,-0.0131703852387801,-0.414722370111204,5
"dv.45364",0.448662144623021,2.0458501156658,0.0314618719659077,-0.0400708622946166,-0.638846443430092,-0.0437989242681947,-0.638846443430092,-0.060795899188169,-0.638846443430092,-0.0977334609666438,-0.0653781235813113,-0.301657531665524,5
"dv.5689",-0.783645219592441,1.08491962687836,-0.472765757818808,-0.329816357921214,-0.535973744864529,0.0699162092409198,0.0394911895361441,0.353833311314288,-0.00933986455068059,-0.0391260555600859,0.530391773893497,0.092114889444546,5
"dv.57670",-0.236493008491445,1.36965588032529,1.55556843819778,0.0711009771553517,0.252754405163773,-0.215701459481298,-0.317749426388254,0.145108741776767,-0.453056332543579,-0.6900677917505,-0.251516709783949,-1.22960371417993,5
"dv.62417",0.916492022662518,1.39638762268708,-0.808419603823832,-0.358041394440229,0.288672831277657,0.315810367871221,-0.147571393071167,-0.0583622619261135,-0.33114296050139,-0.272245382741359,-0.218180548914096,-0.723399299080288,5
"dv.6514",-0.143574798034579,1.57932277838037,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,-0.143574798034579,5
"dv.75662",-0.222641620579318,2.4490578263725,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,-0.222641620579318,5
"dv.81106",1.36963423190016,1.44624129881797,-0.461135738979441,-0.461135738979441,-0.461135738979441,0.38515357985114,-0.461135738979441,-0.461135738979441,0.0992871455262492,-0.0723660832394386,-0.461135738979441,-0.461135738979441,5
"dv.98160",0.138723510272964,1.79532037010258,0.897222794169996,0.234179152121534,-0.325012775303765,-0.802062712470405,-0.492817890046235,-0.586350165328676,-0.0686555015243258,-0.0916928101887127,-0.583621788092966,-0.11523218371198,5
"dv.99386",-0.504931924794388,1.61135214706308,-0.504931924794388,-0.504931924794388,-0.504931924794388,-0.504931924794388,0.544859351687939,-0.504931924794388,0.93174696120164,0.951496938402443,-0.504931924794388,-0.504931924794388,5
