"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.100019",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100051",-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,0.425366450368731,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,6
"dv.100137",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100245",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100273",-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,0.579560294723161,-0.0526872995202874,-0.0526872995202874,6
"dv.100278",-0.0527585562569257,-0.0527585562569257,0.580344118826181,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,6
"dv.100360",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100420",0.414483711442283,0.873646002357845,1.00216402778364,-1.04272856511722,-0.172451131368958,-0.428687166984489,-0.390593523409892,0.0745176856919816,-0.184014612020443,0.272277101912223,-0.232759178550547,-0.18585435173642,6
"dv.100565",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100602",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.100644",0.5164371467698,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,-0.0469488315245274,6
"dv.100929",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.101218",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.101440",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.101598",-0.476629814613058,-0.476629814613058,1.22762240496059,-0.476629814613058,0.174617316846424,-0.0125936869380792,-0.476629814613058,0.0801609334386537,0.108957172418254,0.410626775308509,-0.476629814613058,0.393758157030938,6
"dv.101616",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.101996",-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,0.383434830079565,0.42257814587458,-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,-0.0806012975954142,6
"dv.102229",-0.122827486555714,-0.122827486555714,-0.122827486555714,-0.122827486555714,-0.122827486555714,-0.122827486555714,-0.122827486555714,-0.122827486555714,0.462759500475599,-0.122827486555714,0.765515365081537,-0.122827486555714,6
"dv.102373",-0.231908430998559,-0.231908430998559,-0.231908430998559,-0.231908430998559,-0.231908430998559,0.421569515222312,0.271271012471435,0.324882317053153,-0.231908430998559,-0.231908430998559,0.217494157583463,0.388142014659552,6
"dv.102374",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.102631",-0.0946901765460919,-0.0946901765460919,0.538412498537015,-0.0946901765460919,-0.0946901765460919,-0.0946901765460919,0.408489266923902,-0.0946901765460919,-0.0946901765460919,-0.0946901765460919,-0.0946901765460919,-0.0946901765460919,6
"dv.102680",-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,0.470188580587692,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,-0.0427444164170629,6
"dv.102882",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.103021",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.103173",-0.106538864189515,-0.106538864189515,-0.106538864189515,0.615136758032948,-0.106538864189515,-0.106538864189515,-0.106538864189515,0.450251883862197,-0.106538864189515,-0.106538864189515,-0.106538864189515,-0.106538864189515,6
"dv.103516",-0.150277150420661,-0.150277150420661,-0.150277150420661,0.571398471801801,-0.150277150420661,-0.150277150420661,-0.150277150420661,-0.150277150420661,-0.150277150420661,0.481970443822787,0.299125438161361,-0.150277150420661,6
"dv.10368",-0.408985718006485,-0.408985718006485,-0.408985718006485,0.47044765627269,-0.408985718006485,-0.408985718006485,0.299101130747474,0.373697533537424,0.176601269024827,0.223261876236963,0.0404168705755366,0.461402253637511,6
"dv.104000",-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,0.461247823180828,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,6
"dv.104214",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.104568",-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,0.461247823180828,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,6
"dv.104784",-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,0.425366450368731,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,6
"dv.104791",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.104811",-0.0527585562569257,-0.0527585562569257,0.580344118826181,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,6
"dv.105076",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.105380",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.105704",-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,-0.0526872995202874,0.579560294723161,-0.0526872995202874,-0.0526872995202874,6
"dv.105940",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.105995",-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,0.461247823180828,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,-0.0419316202891662,6
"dv.106275",-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,-0.0891210861866778,0.360281502395344,0.530929359471433,6
"dv.106570",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.108556",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.109168",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.10958",-0.195283542556733,-0.195283542556733,-0.195283542556733,-0.195283542556733,-0.195283542556733,-0.195283542556733,0.307895900913262,0.757682934732498,-0.195283542556733,0.691973047364834,-0.195283542556733,-0.195283542556733,6
"dv.111010",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.111320",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.111961",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.11197",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.113834",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.11415",-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,0.411952372866853,-0.0374502157151686,6
"dv.116538",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.11680",-0.114539399516902,-0.114539399516902,1.25993339468592,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,-0.114539399516902,6
"dv.11854",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.11879",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.120694",-0.0527585562569257,-0.0527585562569257,0.580344118826181,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,6
"dv.120703",-0.348840510958512,-0.348840510958512,-0.348840510958512,0.164092486046243,-0.348840510958512,0.30463743526236,-0.348840510958512,0.2079502370932,-0.348840510958512,0.283407083284937,0.423444530628496,0.709511293435833,6
"dv.121608",-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,-0.0374502157151686,0.411952372866853,-0.0374502157151686,6
"dv.121988",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.125971",-0.367976825598494,-0.367976825598494,-0.367976825598494,-0.367976825598494,0.283270305860988,0.429051808138392,-0.367976825598494,-0.367976825598494,0.217610161432818,1.1255394777185,0.520366026038757,-0.367976825598494,6
"dv.127094",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.12726",-0.0616770519325422,0.678447571257963,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,6
"dv.131010",-0.584711934319223,-0.334119688969029,0.401844891726698,-1.03523793640099,-0.90040561475158,-0.949879292329125,0.787403216913185,0.798745737216983,-0.179584333244094,1.3218603306933,0.555610484029735,0.118474139434138,6
"dv.131629",-0.378995752509539,0.656822651314615,-0.378995752509539,-0.378995752509539,-0.378995752509539,-0.378995752509539,0.484034855448517,-0.378995752509539,0.897386937047957,0.993721576265228,-0.378995752509539,-0.378995752509539,6
"dv.132228",0,0,0,0,0,0,0,0,0,0,0,0,6
